matricula,nome,situacao,data_matricula,cidade,site,email,telefone,uf,junta_comercial,fonte
21/06/1982,Artur Henrique Carstens,cancelado,21/06/1982,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/07/1982,Célio De Souza,regular,15/07/1982,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
24/01/1990,Ruy Walter Baldissera,regular,24/01/1990,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
22/08/1996,Isolda Capelari,cancelado,22/08/1996,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/11/1998,Paulo Pizzolatti Neto,regular,17/11/1998,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/1999,Vicente Alves Pereira Neto,regular,15/12/1999,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/1999,Paulo Mario Lopes Machado,regular,15/12/1999,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/1999,Lúcio Ubialli,regular,15/12/1999,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
15/12/1999,Roberto Marcondes De Azevedo,cancelado,15/12/1999,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/06/2000,Paulo Roberto Pimental Porto,destituido,13/06/2000,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
27/06/2000,Daniel Schneider Chaieb,cancelado,27/06/2000,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
09/10/2000,Rogério Damiani,regular,09/10/2000,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/12/2000,Ancila Maria Baldissera Paludo,cancelado,13/12/2000,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
05/04/2001,Rodrigo Schmitz,regular,05/04/2001,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/01/2002,Fabiane Tissiane Baldissera De Souza,regular,30/01/2002,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
28/06/2002,Jorge Luiz Canella,regular,28/06/2002,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
17/10/2002,Tarcísio Geraldo Meneghel Coutinho,regular,17/10/2002,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
12/12/2002,Wendel Machado Garcia,regular,12/12/2002,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/03/2003,Felipe Gonzaga Daux,regular,13/03/2003,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/03/2003,Paulo Castelan Minatto,regular,13/03/2003,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/07/2004,Luiza Belloti Moura Pigini,destituido,20/07/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
10/08/2004,Enéas Carrilho De Vasconcelos Neto,regular,10/08/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/08/2004,Jefferson Eduardo Zampieri,regular,19/08/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/08/2004,César Luis Moresco,regular,19/08/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/08/2004,Giovanni Silva Wersdoefer,regular,19/08/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/08/2004,Quênia De Luca Martins,regular,19/08/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/10/2004,Terezinha De Souza Ruzinski,destituido,06/10/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
06/10/2004,Avilson José Souza,cancelado,06/10/2004,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/04/2005,Eduardo Schmitz,regular,13/04/2005,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/04/2005,Daniela Felzke,regular,13/04/2005,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
13/04/2005,Júlio Ramos Luz,regular,13/04/2005,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/06/2005,Paulo Setsuo Nakakogue,cancelado,20/06/2005,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
29/08/2006,Eduardo De Werk,regular,29/08/2006,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
31/08/2007,Sônia Regina Nunes,destituido,31/08/2007,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
21/01/2008,Daniella Bianchini Spuldaro,regular,21/01/2008,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
26/02/2008,Adriane Regina Morais Loenert,regular,26/02/2008,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
03/09/2008,Sandro Luis De Souza,regular,03/09/2008,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
26/01/2009,João Lucas Silveira Santos,destituido,26/01/2009,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
20/07/2009,Giovano Ávila Alves,regular,20/07/2009,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
21/12/2009,Jorge Ferlin Dale Nogari Dos Santos,regular,21/12/2009,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
19/02/2010,Eduardo Abreu Alves Barbosa,regular,19/02/2010,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
26/03/2010,Rodolfo Da Rosa Schöntag,regular,26/03/2010,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
30/03/2010,Jean Fernando Ribeiro Pavesi,regular,30/03/2010,,,,,SC,JUCESC,https://leiloeiros.jucesc.sc.gov.br/site/index.php
